,title,year,kind,rating,vote,runtime
1778,Beautiful Thing,1996,movie,7.6,23496.0,90
1779,The Scourge of Worlds: A Dungeons & Dragons Adventure,2003,video movie,6.5,268.0,90
1780,Arakimentari,2004,movie,7.2,358.0,85
1781,The Rat Pack's Las Vegas,2002,tv movie,6.9,11.0,50
1782,Labyrinth of Flames,2000,video movie,6.1,108.0,60
1783,The St. Louis Bank Robbery,1959,movie,5.9,1407.0,89
1784,Slaughter High,1986,movie,5.4,5762.0,90
1785,A Talking Picture,2003,movie,6.6,1986.0,96
1786,The Secret,2000,tv mini series,6.9,279.0,180
1787,Cowboys & Angels,2003,movie,6.9,2532.0,89
1788,The Captives,2001,video movie,2.5,925.0,71
1789,Humanity,1999,movie,6.9,4497.0,141
1790,Starship Troopers 2: Hero of the Federation,2004,video movie,3.6,22639.0,88
1791,Come and See,1985,movie,8.3,67833.0,142
1792,"Hush...Hush, Sweet Charlotte",1964,movie,7.6,13801.0,133
1793,Scooby-Doo and the Monster of Mexico,2003,video movie,6.4,3742.0,75
1794,Aftermath: The Remnants of War,2001,movie,8.5,62.0,74
1795,Cop & ½,1993,movie,4.1,8600.0,97
1796,The Aztecs Special,2011,episode,,,0
1797,The Worst Horror Movie Ever Made,2005,video movie,3.1,359.0,85
1798,Salmonberries,1991,movie,6.1,674.0,95
1799,The Escape,2018,episode,7.7,241.0,50
1800,Mötley Crüe: Carnival of Sins,2005,video movie,8.2,288.0,210
1801,A Private Function,1984,movie,6.5,2637.0,92
1802,Dead or Alive: Final,2002,movie,5.7,2530.0,89
1803,Wagner: Tannhäuser,2015,episode,7.9,20.0,0
1804,Abbott & Costello Meet the Mummy,1973,episode,,,0
1805,Zatoichi the Outlaw,1967,movie,7.1,1149.0,96
1806,Be Good for Rachel,2016,movie,7.9,8.0,16
1807,My Neighbor Totoro,1988,movie,8.2,310526.0,86
1808,Elvira: Mistress of the Dark,1988,movie,6.6,16079.0,96
1809,The Grandfather,1998,movie,7.4,1829.0,151
1810,Pumpkinhead II: Blood Wings,1993,movie,4.6,4433.0,88
1811,The Seduction of Mimi,1972,movie,7.4,2179.0,121
1812,The Who,1996,episode,,,0
1813,Pride Critical Countdown 2005,2005,movie,,,0
1814,Boxer Shorts,2002,video movie,4.9,76.0,96
1815,Jack & Sarah,1995,movie,6.7,5198.0,110
1816,Three Colors: Red,1994,movie,8.1,97756.0,99
1817,An Evening with the Dixie Chicks,2002,movie,7.6,95.0,92
1818,The Longest Nite,1998,movie,7.3,2044.0,84
1819,Nothing Funny,1995,movie,7.4,3281.0,95
1820,All Purpose Cultural Cat Girl Nuku Nuku DASH!,1998,tv mini series,7.5,26.0,24
1821,Barbarians at the Gate,1993,tv movie,7.2,2987.0,107
1822,Daughter from Danang,2003,episode,7.0,19.0,0
1823,The Gin Game,2003,tv movie,7.1,167.0,90
1824,"The Night Before Director Jonathan Levine, Favorite Christmas Movies and More!",2015,episode,,,0
1825,The Boy's Club,1996,movie,6.3,1211.0,90
1826,Linkin Park: Live in Texas,2003,video movie,8.6,659.0,68
1827,Bright Light,2013,movie,,,46
1828,Carmen Miranda: Bananas Is My Business,1995,movie,7.7,280.0,91
1829,The Work of Director Mark Romanek,2005,video movie,8.2,349.0,155
1830,Ed McBain's 87th Precinct: Lightning,1995,tv movie,5.5,249.0,95
1831,Inspector Gadget 2,2003,video movie,3.5,6151.0,89
1832,Funny Ladies,1991,movie,,,0
1833,Things to Come,1936,movie,6.7,7607.0,100
1834,Battle for Sevastopol,2015,movie,7.1,11417.0,110
1835,WarGames,1983,movie,7.1,94826.0,114
1836,EXPO: Magic of the White City,2005,video movie,7.4,185.0,116
1837,Zombie 3,1988,movie,4.9,4710.0,95
1838,Iron Monkey,1993,movie,7.5,15965.0,90
1839,Sabrina the Teenage Witch in Friends Forever,2002,tv movie,6.3,336.0,73
1840,Montenegro,1981,movie,6.6,1964.0,96
1841,Out of the Ashes,2003,tv movie,6.8,1159.0,113
1842,Shanghai Surprise,1986,movie,3.2,5322.0,97
1843,Cube Escape: Seasons,2015,video game,,,0
1844,Deewana,1992,movie,6.9,6462.0,185
1845,Naurun varjolla,2020,movie,4.9,50.0,88
1846,Ultimate Edition,2018,episode,,,56
1847,Sesame Street: Let's Make Music!,2000,video movie,,,40
1848,House Party 4: Down to the Last Minute,2001,video movie,2.7,976.0,96
1849,Commanding Heights: The Battle for the World Economy,2002,tv mini series,8.1,522.0,360
1850,Dennis the Menace Strikes Again!,1998,video movie,4.4,4452.0,75
1851,Gale Force,2002,video movie,3.9,529.0,96
1852,Beautiful Boxer,2003,movie,7.2,3189.0,118
1853,WTC the First 24 Hours,2002,movie,5.8,133.0,40
1854,Comedy Central Roast of Denis Leary,2003,movie,6.7,1018.0,99
1855,Sword of the Beast,1965,movie,7.6,2639.0,85
1856,Ekipazh,1980,movie,7.4,2380.0,144
1857,The Secret Agent,2016,tv mini series,6.0,929.0,60
1858,Circles,2001,movie,5.6,25.0,125
1859,The Richard Pryor Show,1977,tv series,7.5,391.0,60
1860,Why the Towers Fell,2002,episode,7.2,113.0,56
1861,Halloweentown High,2004,tv movie,6.2,6597.0,82
1862,Ditto,2000,movie,7.1,2035.0,110
1863,Martin Scorsese Directs,1990,episode,8.1,153.0,56
1864,Dixie Chicks: Top of the World,2003,video movie,7.6,49.0,85
1865,White Wolves: A Cry in the Wild II,1993,movie,5.9,464.0,90
1866,Jerry and Tom,1998,movie,6.6,1884.0,107
1867,Mother Kusters Goes to Heaven,1975,movie,7.6,1880.0,120
1868,The Lake House,2006,movie,6.8,144568.0,99
1869,Christina's House,2000,movie,4.4,2287.0,97
1870,Sacred Silence,1996,movie,6.1,359.0,114
1871,The Quiet Family,1998,movie,7.0,4996.0,101
1872,Project Greenlight's Len Amato Critiques Len Amato's Project Greenlight Critiques,2015,video movie,,,0
1873,Meat Loaf,1998,episode,7.2,137.0,100
1874,Devilman,1972,tv series,6.7,279.0,30
1875,Sooryavansham,1999,movie,6.3,3005.0,168
1876,Gorgeous,1999,movie,6.1,12703.0,121
1877,American Girl,2002,movie,6.0,1404.0,88
1878,Gacy,2003,video movie,4.7,4175.0,88
1879,Conagher,1991,tv movie,7.3,1731.0,94
1880,Adele Live at the Royal Albert Hall,2011,video movie,8.6,956.0,90
1881,Hercules: The Legendary Journeys,1995,tv series,6.5,28719.0,44
1882,Every Mother's Son,1918,movie,,,0
1883,Sting: All This Time,1991,video movie,6.0,17.0,5
1884,Frankenstein Must Be Destroyed,1969,movie,6.8,4523.0,101
1885,The Navigators,2001,movie,7.0,2802.0,96
1886,John Denver: A Portrait,1998,video movie,8.6,33.0,60
1887,I Know Where I'm Going!,1945,movie,7.5,8453.0,92
1888,Cecil B. Demented,2000,movie,6.2,15465.0,87
1889,Blessed,2004,movie,4.2,2187.0,94
1890,Tom Jones,1963,movie,6.5,12487.0,129
1891,Winnie the Pooh Un-Valentine's Day,1995,video movie,7.5,110.0,30
1892,Triads: The Inside Story,1989,movie,5.9,273.0,91
1893,18 Again,2020,tv series,8.2,1151.0,70
1894,Richard Jeni: A Big Steaming Pile of Me,2005,movie,7.5,264.0,60
1895,Kung Fu - Pre-Season Launch Teaser,2021,movie,,,2
1896,In the Mirror of Maya Deren,2001,movie,7.3,403.0,103
1897,Looking Back in Living Color: The First Season,2004,video movie,,,33
1898,The Cramps: Live at Napa State Mental Hospital,1981,video movie,8.3,153.0,20
1899,Thomas Jefferson,1997,tv mini series,7.7,660.0,180
1900,GhostWatcher,2002,movie,4.1,617.0,94
1901,Dragon Ball Z: Bardock - The Father of Goku,1990,tv movie,7.9,5234.0,48
1902,Mr. Klein,1976,movie,7.6,6699.0,123
1903,L'Eclisse,1962,movie,7.9,18683.0,126
1904,Garfield's Feline Fantasies,1990,tv short,7.9,302.0,22
1905,I Can't Marry You,2004,movie,7.7,37.0,59
1906,Urusei Yatsura 2: Beautiful Dreamer,1984,movie,7.5,1855.0,98
1907,Mi vida loca,1993,movie,6.5,2099.0,92
1908,Van Helsing: The London Assignment,2004,video movie,6.1,3064.0,30
1909,Episode 2: I Beg your pardon? (Bonus Material),2020,episode,,,0
1910,Love Potion No. 9,1992,movie,5.7,13677.0,92
1911,Tomie: Re-birth,2001,movie,5.5,606.0,101
1912,Between Strangers,2002,movie,6.0,1064.0,95
1913,Transfixed,2001,movie,5.4,368.0,105
1914,Traffic,2004,tv mini series,7.1,887.0,260
1915,The Son of the Sheik,1926,movie,6.6,1932.0,68
1916,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,movie,7.6,4012.0,90
1917,Ginger Snaps Back: The Beginning,2004,movie,5.9,10481.0,94
1918,Elvira's Horror Classics,2004,video movie,8.2,10.0,0
1919,Raining Stones,1993,movie,7.3,4381.0,90
1920,Jorge Ameer Presents Straight Men & the Men Who Love Them 2,2008,movie,5.5,23.0,107
1921,Freeze Me,2000,movie,6.2,1761.0,101
1922,Yu-Gi-Oh!,2000,tv series,7.3,19975.0,24
1923,Cardcaptor Sakura: The Sealed Card,2000,movie,7.9,1545.0,79
1924,Tenchi the Movie - Tenchi Muyo in Love,1996,movie,7.2,1407.0,95
1925,Jaclyn Smith's Best Charlie's Angels Secrets/Queen Learns How to Be an Angel,2015,episode,,,0
1926,The Innocent,2021,tv mini series,7.9,22753.0,467
1927,Desperate Souls,2005,video movie,2.3,283.0,84
1928,Sesame Street: Sing Along,1987,video movie,7.0,14.0,31
1929,Swept from the Sea,1997,movie,6.8,3383.0,115
1930,The Ghoul,1975,movie,5.3,1624.0,88
1931,Witchcraft XI: Sisters in Blood,2000,video movie,2.9,273.0,90
1932,Night and Fog,1956,movie,8.6,18302.0,32
1933,$ellebrity: The Go-To Girls - A Special Edition of 20/20,2020,episode,,,0
1934,Jekyll & Hyde: The Musical,2001,tv movie,6.5,607.0,135
1935,American Pimp,1999,movie,6.6,2274.0,87
1936,Shadowlands,1993,movie,7.3,18094.0,131
1937,Animal Attraction,2004,movie,3.0,15.0,9
1938,Dame Kiri Te Kanawa,1982,episode,,,0
1939,The Moody Blues: Threshold of a Dream - Live at the Isle of Wight Festival 1970,2009,video movie,8.2,16.0,78
1940,Sharpe's Siege,1996,episode,7.9,2073.0,100
1941,Fashion Victim: The Killing of Gianni Versace,2001,tv movie,5.4,79.0,77
1942,The Motorcycle Diaries,2004,movie,7.8,99100.0,126
1943,Howard Hughes: The Real Aviator,2004,video movie,6.9,54.0,55
1944,The Lottery,1996,tv movie,6.0,935.0,100
1945,Public Enemy Live from House of Blues,2001,video movie,7.4,22.0,0
1946,The Russians Are Coming the Russians Are Coming,1966,movie,7.0,8522.0,126
1947,Charles Mingus: Triumph of the Underdog,1998,movie,7.3,159.0,78
1948,Live Flesh,1997,movie,7.4,29740.0,103
1949,"Aguirre, the Wrath of God",1972,movie,7.9,54739.0,95
1950,Red vs. Blue: Season 2,2004,video movie,,,99
1952,Kaboom,2010,movie,5.7,12819.0,86
1953,"Comrades, Almost a Love Story",1996,movie,8.1,5601.0,118
1954,Love's a Bitch,2000,movie,8.1,231939.0,154
1955,Career Girls,1997,movie,7.1,5513.0,83
1956,Gully,2019,movie,1.2,16721.0,84
1957,Storm Over Asia,1928,movie,7.1,2030.0,127
1958,"Madonna: Ciao, Italia! - Live from Italy",1987,video movie,8.2,668.0,100
1959,The Powerpuff Girls: 'Twas the Fight Before Christmas,2003,video movie,7.2,562.0,44
1960,Dark Shadows,2012,movie,6.2,254654.0,113
1961,Tales of the Brothers Quay,1987,movie,8.3,429.0,78
1962,My Life in Versailles,2019,movie,7.3,62.0,28
1963,101 Dalmatians 2: Patch's London Adventure,2002,video movie,5.8,8877.0,74
1964,White Sun of the Desert,1970,movie,7.8,6920.0,84
1965,The Matrix: Reloaded,2020,episode,7.4,11.0,0
1966,The Divorce,2003,movie,4.9,11276.0,117
1967,Without a Trace Season 1: The Motive,2004,video movie,,,0
1968,Nip/Tuck Season 5,2007,episode,,,0
1969,Cosmic Voyage,1996,movie,7.6,722.0,36
1970,VW Atlas,2018,episode,,,0
1971,The Original Latin Kings of Comedy,2002,movie,6.6,344.0,86
1972,ECW Heat Wave 97,1997,video movie,,,0
1973,No One Here Gets Out Alive,2012,movie,,,59
1974,Crocodile Dundee II,1988,movie,5.6,55498.0,108
1975,Orwell Rolls in His Grave,2003,movie,8.0,1130.0,84
1977,Soul in the Hole,1997,movie,7.0,228.0,98
1978,Blind Justice,1994,tv movie,5.8,827.0,85
1979,Monk Season One: Mr. Monk and His O.C.D.,2004,video movie,8.2,31.0,0
1980,Stevie Wonder: Songs in the Key of Life,1997,episode,7.5,93.0,75
1981,Ram Dass: Fierce Grace,2004,episode,,,0
1982,Around the World with Orson Welles,1955,tv mini series,7.3,146.0,26
1983,Rolling in the Sky: F/A-18 Blue Angels,1987,video movie,6.1,7.0,50
1984,Red Dwarf: The Tank - Series VIII,2006,video movie,8.3,30.0,88
1985,The House That Dripped Blood,1971,movie,6.6,5872.0,102
1986,In the Light of Reverence,2001,movie,7.9,25.0,73
1987,Rapunzel,1983,episode,7.4,205.0,51
1988,Koi... Mil Gaya,2003,movie,7.1,22653.0,171
1989,The Everly Brothers Reunion Concert,1983,movie,8.2,15.0,75
1990,National Geographic: The FBI,2003,tv movie,6.0,54.0,60
1992,S21: The Khmer Rouge Killing Machine,2003,movie,7.3,1069.0,101
1993,The Same River Twice,2003,movie,7.0,288.0,78
1994,Crop Circles: Quest for Truth,2002,movie,6.8,232.0,115
1995,Life and Debt,2001,movie,7.5,983.0,80
1996,The Science of the Toot,2017,episode,2.6,12.0,11
1997,Human,2015,movie,8.7,8029.0,190
1998,The Grass Is Greener,1960,movie,6.5,4885.0,104
1999,Freeze Frame,2004,movie,6.4,2847.0,99
2000,High Risk,1995,movie,6.1,4129.0,101
2001,Travel the World by Train: Australia & New Zealand,1999,video movie,6.8,12.0,60
2002,Joseph Campbell and the Power of Myth,1988,tv mini series,8.9,1029.0,360
2003,Ultimate Crop Circles: Signs from Space?,2002,video movie,7.0,18.0,115
2004,Cosplay Complex,2002,tv series,5.2,25.0,0
2005,"Dr. Quinn, Medicine Woman",1993,tv series,6.8,10920.0,60
2006,Sesame Street: Cookie Monster's Best Bites,1995,video movie,8.0,22.0,60
2007,David Blaine: Fearless,2002,tv movie,7.4,204.0,110
2008,Deep Dark Secrets,1987,tv movie,5.1,89.0,90
2009,The Eligible Bachelor,1993,episode,6.9,1003.0,104
2010,The Princess & the Barrio Boy,2000,tv movie,5.4,329.0,93
2011,"Los Briceño, una familia todo terreno",2019,tv series,7.9,120.0,46
2012,The Browning Version,1951,movie,8.2,4703.0,90
2013,Die! Die! My Darling!,1965,movie,6.3,2435.0,97
2014,Travel the World by Train: Central America,1999,video movie,,,60
2015,The Dead Hate the Living!,2000,video movie,4.3,1906.0,90
2016,Wild America,1997,movie,6.4,7250.0,106
2017,Rampo,1994,movie,6.7,573.0,100
2018,The Private Navy of Sgt. O'Farrell,1968,movie,5.9,541.0,92
2019,Police Academy 5: Assignment: Miami Beach,1988,movie,4.6,35031.0,90
2020,All Things Fall Apart,2011,movie,5.5,2603.0,110
2021,Mortal Kombat: At The Movies,2012,episode,9.5,6.0,4
2022,The Voice Australia Season 3,2014,tv series,,,0
2023,Lifeline,2017,tv series,6.2,785.0,25
2024,Secrets of the Heart,1997,movie,7.1,1808.0,105
2025,Simon and Garfunkel: Old Friends - Live on Stage,2004,video movie,8.3,105.0,140
2026,A Fine Romance,1981,tv series,7.1,636.0,30
2027,A Cage for Satan,1996,episode,8.5,17.0,0
2028,Tales of the City,2019,tv series,7.4,7176.0,60
2029,Mobile Suit Gundam SEED,2002,tv series,7.7,2347.0,50
2030,Subspecies 4: Bloodstorm,1998,video movie,5.4,1236.0,85
2031,All Creatures Great and Small,2020,tv series,8.4,5284.0,0
2032,I'll Be Waving as You Drive Away: Part II,1978,episode,8.9,314.0,49
2033,Toothless,2020,movie,,,12
2034,A Program About Unusual Buildings & Other Roadside Stuff,2004,tv movie,7.0,104.0,57
2035,Them,2006,movie,6.4,29813.0,77
2036,Eloïse's Lover,2009,movie,6.3,1916.0,92
2037,Fingersmith,2005,tv mini series,7.9,8513.0,181
2038,Detention,1998,movie,6.5,385.0,86
2039,Thriller: A Cruel Picture,1973,movie,6.4,6990.0,104
2040,Twist,2021,movie,4.1,2193.0,90
2041,Local Hero,1983,movie,7.4,22961.0,111
2042,Zanjeer,1973,movie,7.6,3832.0,145
2043,Back to School with Franklin,2003,video movie,7.6,48.0,48
2044,The Films of Joel Schumacher,2001,episode,7.4,9.0,58
2045,Larry the Cable Guy: Git-R-Done,2004,movie,5.5,708.0,66
2046,Foo Fighters: Everywhere But Home,2003,video movie,8.3,249.0,151
2047,Last Flight of Noah's Ark/Little Miss Marker,1980,episode,,,0
2048,Atomic Train,1999,tv mini series,4.7,2269.0,122
2049,The Girl Rosemarie,1996,tv movie,6.3,549.0,135
2050,Victim of Love,1991,tv movie,5.4,461.0,99
2051,Horror of Dracula,1958,movie,7.3,23432.0,82
2052,House of the Spirits,2001,tv movie,,,52
2053,The Firm: Body Sculpting System - Ab Sculpt,2003,video movie,,,0
2054,Ella Fitzgerald: Something to Live For,1999,episode,7.6,135.0,0
2055,Santana: Sacred Fire - Live in Mexico,1995,movie,8.2,59.0,97
2056,And God Spoke,2019,episode,,,0
2057,How to Be a Player,1997,movie,5.4,8879.0,93
2058,Daydream Obsession 2: Infidelities,2004,video movie,4.1,41.0,87
2059,Vengeance on Varos: Part Two,1985,episode,7.7,395.0,45
2060,'Angel': Season 4 Overview,2004,video movie,6.7,86.0,0
2061,Chunhyang,2000,movie,7.1,1648.0,116
2062,Gorky 1: The Childhood of Maxim Gorky,1938,movie,7.3,665.0,98
2063,The Steamroller and the Violin,1961,movie,7.4,6072.0,46
2064,Shadow Builder,1998,movie,4.9,1542.0,101
2065,Paris Was a Woman,1996,movie,7.3,170.0,75
2066,Beauty and the Beast,1984,episode,7.0,198.0,52
2067,The Simpsons: Bart vs. the Space Mutants,1991,video game,5.5,203.0,0
2068,Tenchi Muyô! GXP,2002,tv series,7.1,249.0,24
2069,Max Ernst: Mein Vagabundieren - Meine Unruhe,1991,movie,7.8,51.0,105
2070,What Girls Learn,2001,tv movie,5.8,330.0,115
2071,Mar,2018,movie,5.5,36.0,103
2072,Under the Roofs of Paris,1930,movie,7.1,2186.0,96
2073,Santa Claus Is Comin' to Town,1970,tv movie,7.7,13237.0,48
2074,Ek Aur Ek Gyarah,1981,movie,6.3,53.0,153
2075,Harrison's Flowers,2000,movie,7.1,6264.0,130
2076,2LDK,2003,movie,6.9,3509.0,70
2077,WWE SummerSlam,2021,movie,6.4,208.0,0
2078,Hum Aapke Dil Mein Rehte Hain,1999,movie,5.7,1613.0,168
2079,She's Having a Baby,1988,movie,5.9,12451.0,106
2080,Trading Spaces,2000,tv series,5.9,765.0,60
2081,The Legend of Tarzan,2016,movie,6.2,169795.0,110
2082,"301, 302",1995,movie,6.5,1059.0,100
2083,East/West,1999,movie,7.4,4776.0,121
2084,Wattstax,1973,movie,7.6,839.0,103
2085,Burial Ground: The Nights of Terror,1981,movie,5.7,5442.0,85
2086,Dead Man's Walk,1996,tv mini series,7.2,1627.0,272
2087,Sunday in the Park with George,2013,tv movie,8.5,10.0,0
2088,The Bone Snatcher,2003,movie,4.4,2514.0,90
2089,Mickey's House of Villains,2001,video movie,6.6,3452.0,68
2090,VeggieTales Classics!,1994,tv series,5.9,8.0,32
2091,Darna Mana Hai,2003,movie,6.3,3323.0,121
2092,Spiders II: Breeding Ground,2001,movie,3.1,1603.0,96
2093,Code Name: Jaguar,1965,movie,5.7,77.0,107
2094,From Dusk Till Dawn 2: Texas Blood Money,1999,video movie,4.1,15793.0,88
2095,The 3 Tenors in Concert 1994,1994,movie,7.9,228.0,0
2096,Inugami,2001,movie,5.9,804.0,106
2097,Salaam Bombay!,1988,movie,8.0,9028.0,113
2098,Walking with Cavemen,2003,tv mini series,7.6,1282.0,120
2099,Frankie & Hazel,2000,tv movie,5.8,410.0,92
2100,The Designated Mourner,1997,movie,6.1,362.0,94
2101,THe Kids in the Hall: An Oral History - Season 1,2010,video movie,,,0
2102,Dave Matthews Band: Plugging the Gap,2003,video movie,,,62
2103,Hot Dog... The Movie,1983,movie,5.0,3330.0,96
2104,Hugh Hefner: American Playboy,1996,episode,7.4,99.0,0
2105,Flame of Recca,1997,tv series,7.5,280.0,22
2106,The Eight Immortals Restaurant: The Untold Story,1993,movie,6.9,3760.0,96
2107,And I Hate You So,2000,movie,6.2,325.0,96
2108,Eric Clapton: Sessions for Robert J,2004,video movie,8.6,105.0,97
2109,What to Do in Case of Fire,2001,movie,6.8,3635.0,101
2110,American Government Part 1: The Standard Deviants,1999,video movie,,,0
2111,Half-Caste,2004,video movie,2.2,219.0,86
2112,Hendrix: Band of Gypsys,1999,video movie,8.0,175.0,83
2113,The Hidden Wars of Desert Storm,2001,movie,7.8,140.0,64
2114,The Unknown Marx Brothers,1993,tv movie,7.5,304.0,120
2115,The Lost Prince,2003,tv movie,7.7,1913.0,180
2116,270 Miles from Graceland: Live from Bonnaroo 2003,2003,video movie,8.0,29.0,0
2117,Hum Ho Gaye Aap Ke,2001,movie,4.2,420.0,168
2118,Bewitched: Season 2: Episodes 13 - 20,2021,episode,,,0
2119,The Tuskegee Airmen,1995,tv movie,7.2,6066.0,106
2120,Timerider: The Adventure of Lyle Swann,1982,movie,5.4,2157.0,94
2121,Jefferson Starship: The Definitive Concert,1984,video movie,,,63
2122,Wish Upon a Star,1996,tv movie,6.7,7395.0,90
2123,Umrao Jaan,1981,movie,7.8,1014.0,145
2125,Heroes Shed No Tears,1984,movie,6.3,1142.0,93
2126,Lost Subs: Disaster at Sea,2002,episode,7.3,34.0,55
2127,Little House on the Prairie,1974,tv series,7.5,20777.0,60
2128,As Tears Go By,1988,movie,7.0,9505.0,102
2129,Cartoons That Time Forgot: The Ub Iwerks Collection,1994,video movie,7.2,37.0,237
2130,Morvern Callar,2002,movie,6.8,9736.0,97
2131,Inuyasha,2000,tv series,7.9,15383.0,24
2132,Mistress,1976,movie,6.6,2082.0,112
2133,The Bible... in the Beginning,2012,movie,,,1
2134,Revenge of the Musketeers,1994,movie,5.8,3300.0,125
2135,The Desperate Trail,1994,video movie,6.0,795.0,93
2136,Cross of Iron,1977,movie,7.5,25988.0,132
2137,Devils on the Doorstep,2000,movie,8.2,7241.0,139
2138,Harlan County War,2000,tv movie,6.5,537.0,104
2139,Battleship Potemkin,1925,movie,8.0,55411.0,75
2140,Hofmann's Potion,2002,movie,7.2,273.0,56
2141,Drug Wars: The Camarena Story,1990,tv mini series,6.7,605.0,270
2142,Oliver's Travels,1995,tv mini series,8.3,319.0,250
2143,Kind Hearts and Coronets,1949,movie,8.0,36086.0,106
2144,Saved by the Bell: The College Years,1993,tv series,6.3,4650.0,30
2145,Advise & Consent,1962,movie,7.7,6867.0,139
2146,Ranma ½: Nettô-hen,1989,tv series,8.2,1409.0,30
2147,Vietnam's Unseen War: Pictures from the Other Side,2002,episode,7.1,62.0,60
2148,The Passion of the Christ,2004,movie,7.2,222681.0,127
2149,Double Jeopardy,1999,movie,6.5,81500.0,105
2150,Miracle in the Woods,1997,tv movie,6.6,449.0,92
2151,Jack Johnson: The September Sessions,2002,video movie,7.8,193.0,0
2152,Detention: The Siege at Johnson High,1997,tv movie,6.3,545.0,93
2154,Jackson Browne: Going Home,1994,tv movie,7.6,72.0,91
2155,"Good Morning, Miami",2002,tv series,6.5,665.0,30
2156,A Christmas Carol,1951,movie,8.1,21078.0,86
2157,The Truth About Charlie,2002,movie,4.8,10317.0,104
2158,Air Bud: Spikes Back,2003,video movie,4.1,1866.0,87
2159,Gregory's Girl,1980,movie,7.1,8293.0,91
2160,Horror Express,1972,movie,6.5,10018.0,91
2161,Shadowhunters: Season 1 Stardust Compilation,2018,episode,,,0
2162,Suzhou River,2000,movie,7.4,4569.0,83
2163,Knight Moves: 'Knight Rider' Season 1 DVD,2004,video movie,8.0,26.0,6
2164,Kumu Hula: Keepers of a Culture,1989,movie,9.0,5.0,85
2165,C.B. Strike,2017,tv series,7.9,12501.0,60
2166,Count Basie at Carnegie Hall,1981,movie,8.3,13.0,80
2167,Charlie Chan in the Secret Service,1944,movie,6.4,1512.0,63
2168,I Could Go on Singing,1963,movie,7.0,1429.0,100
2169,A Girl Thing,2001,tv movie,6.2,757.0,237
2170,Extreme Championship Wrestling: the Best of the Dudley Boyz,2001,video movie,,,0
2171,Let's Start a Band: A Dragon Tales Music Special,2003,video movie,,,48
2172,Life Is to Whistle,1998,movie,6.6,685.0,106
2173,A Man and a Woman,1966,movie,7.6,10280.0,102
2174,A Better Tomorrow III: Love and Death in Saigon,1989,movie,5.9,3200.0,105
2175,City of Glass,1998,movie,6.8,586.0,111
2176,On Guard,1997,movie,7.0,3455.0,128
2177,John McLaughlin's One on One,1985,tv series,,,30
2178,Ed Sullivan Presents: Rock 'N Roll Revolution,2011,video movie,9.0,10.0,0
2179,Wuthering Heights,1992,movie,6.8,12836.0,105
2180,The Ruling Class,1972,movie,7.4,6070.0,154
2181,Jungle Holocaust,1977,movie,6.0,3508.0,88
2182,Owning Mahowny,2003,movie,7.1,13153.0,104
2183,Sugar: Howling of Angel,1996,video movie,3.8,17.0,0
2184,I've Been Waiting for You,1998,tv movie,5.4,1312.0,90
2185,Hazaaron Khwaishein Aisi,2003,movie,7.9,4837.0,120
2186,Longitude,2000,tv movie,7.9,2218.0,200
2187,The Abbott and Costello Show,1952,tv series,8.2,1160.0,25
2188,Dora's Dance to the Rescue,2005,episode,5.3,7.0,47
2189,Bowling for Columbine,2002,movie,7.9,142175.0,120
2190,Peculiarities of the National Fishing,1998,movie,7.2,3514.0,94
2191,The Twelve Kingdoms,2002,tv series,8.1,1906.0,0
2192,Cobra Verde,1987,movie,7.0,7548.0,111
2193,Curb Your Enthusiasm Special,2017,episode,,,7
2194,Guyver 2: Dark Hero,2017,episode,,,0
2195,Takedown,2000,movie,6.3,6809.0,92
2196,The BC Show Season 2,2017,movie,,,0
2197,Weird Anime Excel Saga,1999,tv series,7.5,1326.0,0
2198,"Die, Dracula, Die: A Tale of Terror by Bram Stoker",2008,video movie,,,2
2199,Mule Skinner Blues,2001,movie,6.8,143.0,93
2200,"Don Juan, or If Don Juan Were a Woman",1973,movie,5.0,967.0,90
2201,First Do No Harm,2019,movie,,,86
2202,Girls Bravo,2004,tv series,6.6,755.0,25
2203,ABBA: The Definitive Collection,2002,video movie,8.9,402.0,168
2204,The Blue Kite,1993,movie,7.6,2836.0,140
2205,Ring 2,1999,movie,5.9,13062.0,95
2206,Sharpe's Regiment,1996,episode,7.9,2126.0,100
2207,A Few Days from the Life of I.I. Oblomov,1980,movie,7.6,2204.0,140
2208,Farscape: The Peacekeeper Wars,2004,tv mini series,8.2,15728.0,182
2209,Sharpe's Honour,1994,episode,7.7,2311.0,101
2210,Natalie Merchant: Live in Concert,1999,video movie,8.3,32.0,65
2211,Call Back: Special Edition,2006,movie,,,10
2212,Druids,2001,movie,2.7,5258.0,120
2213,Party Monster,1998,movie,7.2,1685.0,57
2214,Mirage of Blaze,2002,tv series,7.5,144.0,325
2215,Disney Princess Stories Volume Three: Beauty Shines from Within,2005,video movie,5.6,45.0,61
2216,Hey Ram,2000,movie,7.9,12162.0,186
2217,Khoobsurat,2014,movie,6.4,8094.0,130
2218,Looking Back in Living Color: The First Season,2004,video movie,,,33
2219,Corey Fogelmanis Dating Talk for Farkle in Girl Meets World Season 3!,2016,episode,7.4,21.0,0
2220,Bastoni: The Stick Handlers,2002,movie,5.0,53.0,97
2221,Spongebob SquarePants: Season 3 dvd unboxing,2017,episode,,,0
2222,Live from Bonnaroo 2004,2005,video movie,8.0,32.0,0
